RATINGS,CLASS,AGE_Encoded,NAME_Encoded,COMPANY TYPE_Encoded,EMPLOYEES_Encoded,REVIEWS_Encoded,HEADQUATERS_Encoded,AGE_Division_Encoded
3.9,2,1.3,2.0,1.3577331759149942,1.1515151515151516,2.0,2.0,0.3191655593607164
4.1,1,1.4864864864864864,1.0,1.3577331759149942,1.1515151515151516,1.0,1.0,0.3191655593607164
4.0,1,1.4545454545454546,1.0,1.4546952224052718,1.1515151515151516,1.0,1.0,0.3995811649491897
4.0,1,1.4545454545454546,1.0,1.3577331759149942,1.2666666666666666,1.0,1.0,0.3995811649491897
3.9,2,1.2307692307692308,2.0,1.3577331759149942,1.1515151515151516,2.0,2.0,0.3191655593607164
4.0,1,1.4545454545454546,1.0,1.3577331759149942,1.1515151515151516,1.0,1.0,0.3995811649491897
3.9,2,1.25,2.0,1.3577331759149942,1.1515151515151516,2.0,2.0,0.3191655593607164
3.9,2,1.53125,2.0,1.3577331759149942,1.1515151515151516,2.0,2.0,0.3191655593607164
4.0,1,1.2727272727272727,1.0,1.3577331759149942,1.1515151515151516,1.0,1.0,0.3191655593607164
3.7,2,1.4406779661016949,2.0,1.3577331759149942,1.2666666666666666,2.0,2.0,0.3995811649491897
4.0,1,1.4375,1.0,1.4546952224052718,1.2666666666666666,1.0,1.0,0.3995811649491897
3.9,2,1.4444444444444444,2.0,1.3577331759149942,1.2666666666666666,2.0,2.0,0.3191655593607164
4.2,1,1.0,1.0,1.3577331759149942,1.1515151515151516,1.0,1.0,0.3191655593607164
4.1,1,1.3043478260869565,1.0,1.3577331759149942,1.2411067193675889,1.0,1.0,0.3191655593607164
4.2,1,1.4545454545454546,1.0,1.4546952224052718,1.1515151515151516,1.0,1.0,0.3995811649491897
4.1,1,1.3,1.0,1.3577331759149942,1.2411067193675889,1.0,1.0,0.3191655593607164
4.0,1,1.5,1.0,1.3577331759149942,1.2411067193675889,1.0,1.0,0.38978174909261265
4.3,1,1.5,1.0,1.3577331759149942,1.2411067193675889,1.0,1.0,0.3191655593607164
4.0,1,1.5,1.0,1.4546952224052718,1.1515151515151516,1.0,1.0,0.38978174909261265
